Type_Chamber,Type_Bill,Type_Number,Congress,Date,Title,Chamber,Sponsor,Party,State,District,Date_Intro,Cosponsors,Committees,Date_Last,Last_Action
H,B, 6214,116,2019,To amend title XVIII of the Social Security Act to provide for coverage of testing for COVID-19 at no cost sharing under the Medicare Advantage program.,House,"Kind, Ron ",D,WI,3,3/12/20,2,"House - Ways and Means, Energy and Commerce",3/12/20,"Referred to the Committee on Ways and Means, and in addition to the Committee on Energy and Commerce, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned."
H,B, 6331,116,2019,"To require the Board of Governors of the Federal Reserve System to establish a credit facility to provide loans to small businesses, including small family farms, during the COVID-19 emergency.",House,"Beatty, Joyce ",D,OH,3,3/23/20,1,House - Financial Services,3/23/20,Referred to the House Committee on Financial Services.
H,B, 6601,116,2019,To require a particular jury instruction in Federal civil actions that include a claim for damages based on negligence arising from the transmission of COVID-19.,House,"Biggs, Andy ",R,AZ,5,4/23/20,0,House - Judiciary,4/23/20,Referred to the House Committee on the Judiciary.
H,B, 6547,116,2019,"To modify terms related to the economic injury disaster loan program of the Small Business Administration for applicants affected by COVID-19, and for other purposes.",House,"Roy, Chip ",R,TX,21,4/17/20,0,House - Small Business,4/17/20,Referred to the House Committee on Small Business.
H,B, 6584,116,2019,"To amend title XIX of the Social Security Act to provide for a temporary increase in Medicaid DSH allotments during the COVID-19 emergency period, and for other purposes.",House,"Kelly, Robin L. ",D,IL,2,4/21/20,1,House - Energy and Commerce,4/21/20,Referred to the House Committee on Energy and Commerce.
H,B, 6381,116,2019,"To require the Board of Governors of the Federal Reserve System to provide zero-interest loans to minority depository institutions and community development financial institutions to combat COVID-19, and for other purposes.",House,"Green, Al ",D,TX,9,3/24/20,5,House - Financial Services,3/24/20,Referred to the House Committee on Financial Services.
H,B, 6634,116,2019,Emergency COVID Telehealth Response Act,House,"Axne, Cynthia ",D,IA,3,4/28/20,0,"House - Energy and Commerce, Ways and Means",4/28/20,"Referred to the Committee on Energy and Commerce, and in addition to the Committee on Ways and Means, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned."
H,B, 6654,116,2019,Emergency COVID Telehealth Response Act,House,"Axne, Cynthia ",D,IA,3,5/1/20,4,"House - Energy and Commerce, Ways and Means",5/1/20,"Referred to the Committee on Energy and Commerce, and in addition to the Committee on Ways and Means, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned."
H,B, 6583,116,2019,"To amend title XVIII of the Social Security Act to establish a risk corridor program for Medicare Advantage plans during the COVID-19 emergency, and for other purposes.",House,"Houlahan, Chrissy ",D,PA,6,4/21/20,1,"House - Ways and Means, Energy and Commerce",4/21/20,"Referred to the Committee on Ways and Means, and in addition to the Committee on Energy and Commerce, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned."
H,Res, 927,116,2019,"Recognizing the heroism of our Nation's essential employees, including drivers, tradesmen, convenience store workers, manufacturers, airport workers, restaurant employees, farmers, energy employees, public utility workers, and others during the COVID-19 pandemic.",House,"Budd, Ted ",R,NC,13,4/17/20,11,House - Education and Labor,4/17/20,Referred to the House Committee on Education and Labor.
H,B, 6360,116,2019,"To establish requirements on accelerated filers receiving Federal aid related to COVID-19, to establish requirements on all corporations until Federal aid related to COVID-19 is repaid, and for other purposes.",House,"Ocasio-Cortez, Alexandria ",D,NY,14,3/23/20,2,House - Financial Services,3/23/20,Referred to the House Committee on Financial Services.
H,Res, 916,116,2019,"Recognizing the heroism of our Nation's health care workers and first responders, including doctors, nurses, emergency medical services (EMS) professionals, medical staff, pharmacists, law enforcement personnel, and military personnel, during the COVID-19 pandemic.",House,"Budd, Ted ",R,NC,13,4/7/20,1,House - Energy and Commerce,4/7/20,Referred to the House Committee on Energy and Commerce.
H,B, 6572,116,2019,"To direct the Secretary of Health and Human Services, acting through the Director of the Centers for Disease Control and Prevention, to carry out a national campaign to increase awareness and knowledge of COVID-19.",House,"Bilirakis, Gus M. ",R,FL,12,4/21/20,1,House - Energy and Commerce,4/21/20,Referred to the House Committee on Energy and Commerce.
H,B, 6590,116,2019,To defer action regarding certain debts arising from benefits under laws administered by the Secretary of Veterans Affairs for a period of time including the COVID-19 emergency period.,House,"Pappas, Chris ",D,NH,1,4/21/20,1,House - Veterans' Affairs,4/21/20,Referred to the House Committee on Veterans' Affairs.
H,B, 6444,116,2019,Stop COVID Act of 2020,House,"Gooden, Lance ",R,TX,5,4/3/20,2,House - Judiciary,4/3/20,Referred to the House Committee on the Judiciary.
H,B, 6577,116,2019,To direct the Secretary of Health and Human Services to award grants or contracts to public or private entities to carry out a national awareness campaign to increase factual awareness and knowledge of COVID-19.,House,"Cox, TJ ",D,CA,21,4/21/20,1,House - Energy and Commerce,4/21/20,Referred to the House Committee on Energy and Commerce.
H,B, 6232,116,2019,"To require the Secretary of Health and Human Services, through the National Disaster Medical System, to provide for certain laboratory reimbursement for diagnostic testing for COVID-19 in uninsured individuals.",House,"Cardenas, Tony ",D,CA,29,3/12/20,2,House - Energy and Commerce,3/12/20,Referred to the House Committee on Energy and Commerce.
H,B, 6319,116,2019,"To establish a Congressional COVID-19 Aid Oversight Panel, to authorize the Special Inspector General for the Troubled Asset Relief Program to coordinate audits and investigations in connection with the receipt of Federal aid related to COVID-19, and for other purposes.",House,"Phillips, Dean ",D,MN,3,3/23/20,30,House - Financial Services,3/23/20,Referred to the House Committee on Financial Services.
H,B, 6453,116,2019,"To direct the Director of the Federal Bureau of Investigation to report the number of background checks conducted by the National Instant Criminal Background Check System during the month of March 2019 and during the COVID-19 public health emergency, and for other purposes.",House,"Quigley, Mike ",D,IL,5,4/3/20,16,House - Judiciary,4/3/20,Referred to the House Committee on the Judiciary.
H,B, 6576,116,2019,Stop Overdraft Profiteering during COVID-19 Emergency Act of 2020,House,"Cicilline, David N. ",D,RI,1,4/21/20,7,House - Financial Services,4/21/20,Referred to the House Committee on Financial Services.
H,B, 6426,116,2019,"To direct the Secretary of Health and Human Services to establish a program under which loans shall be made to certain health care organizations to assist such organizations with anticipated revenue loss or higher operating costs as a result of the COVID-19 emergency, and for other purposes.",House,"Rose, Max ",D,NY,11,3/31/20,0,House - Energy and Commerce,3/31/20,Referred to the House Committee on Energy and Commerce.
H,B, 6357,116,2019,To authorize the Secretary of Labor to take certain actions to effectively respond during the COVID-19 public health emergency declared under section 319 of the Public Health Service Act to the needs of individuals participating in community service activities under title V of the Older Americans Act of 1965.,House,"Lee, Susie ",D,NV,3,3/23/20,1,House - Education and Labor,3/23/20,Referred to the House Committee on Education and Labor.
H,Res, 946,116,2019,"Promoting and supporting the goals and ideals of the Fair Housing Act and recognizing April 2020 as Fair Housing Month, which includes bringing attention to the discrimination faced by everyday Americans in the United States in housing and housing-related transactions on the basis of race, color, national origin, sex, familial status, disability, and religion, particularly during the COVID-19 pandemic.",House,"Green, Al ",D,TX,9,5/1/20,28,House - Judiciary,5/1/20,Referred to the House Committee on the Judiciary.
H,B, 6299,116,2019,Rapid Coverage of COVID-19 Vaccine Act of 2020,House,"Courtney, Joe ",D,CT,2,3/19/20,1,"House - Energy and Commerce, Ways and Means, Education and Labor",3/19/20,"Referred to the Committee on Energy and Commerce, and in addition to the Committees on Ways and Means, and Education and Labor, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned."
H,Res, 913,116,2019,Expressing support for frontline workers of the COVID-19 pandemic.,House,"Carbajal, Salud O. ",D,CA,24,3/27/20,32,House - Energy and Commerce,3/27/20,Referred to the House Committee on Energy and Commerce.
H,B, 6332,116,2019,Relief for Consumers During COVID-19 Act of 2020,House,"Beatty, Joyce ",D,OH,3,3/23/20,1,House - Financial Services,3/23/20,Referred to the House Committee on Financial Services.
H,B, 6585,116,2019,Equitable Data Collection and Disclosure on COVID-19 Act,House,"Kelly, Robin L. ",D,IL,2,4/21/20,91,"House - Energy and Commerce, Natural Resources",4/21/20,"Referred to the Committee on Energy and Commerce, and in addition to the Committee on Natural Resources, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned."
H,B, 6455,116,2019,COVID-19 Commission Act,House,"Thompson, Bennie G. ",D,MS,2,4/3/20,27,House - Energy and Commerce,4/3/20,Referred to the House Committee on Energy and Commerce.
H,B, 6548,116,2019,National Commission on the COVID-19 Pandemic in the United States Act,House,"Schiff, Adam B. ",D,CA,28,4/17/20,13,House - Energy and Commerce,4/17/20,Referred to the House Committee on Energy and Commerce.
H,B, 6472,116,2019,COVID-19 Price Gouging Prevention Act,House,"Schakowsky, Janice D. ",D,IL,9,4/7/20,28,House - Energy and Commerce,4/7/20,Referred to the House Committee on Energy and Commerce.
H,B, 6620,116,2019,To authorize grants to address substance use during COVID-19.,House,"Kuster, Ann M. ",D,NH,2,4/24/20,1,House - Energy and Commerce,4/24/20,Referred to the House Committee on Energy and Commerce.
H,B, 6474,116,2019,Healthcare Broadband Expansion During COVID-19 Act,House,"Eshoo, Anna G. ",D,CA,18,4/10/20,23,House - Energy and Commerce,4/10/20,Referred to the House Committee on Energy and Commerce.
H,B, 6340,116,2019,"To provide for mortgage forbearance during the COVID-19 emergency, and for other purposes.",House,"Clay, Wm. Lacy ",D,MO,1,3/23/20,1,House - Financial Services,3/23/20,Referred to the House Committee on Financial Services.
H,B, 6385,116,2019,Small Business-Community Banker COVID-19 Relief Act of 2020,House,"Curtis, John R. ",R,UT,3,3/25/20,0,"House - Financial Services, Agriculture",3/25/20,"Referred to the Committee on Financial Services, and in addition to the Committee on Agriculture, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned."
H,B, 6380,116,2019,To temporarily provide for Federal insurance of transaction accounts during the COVID-19 emergency.,House,"Green, Al ",D,TX,9,3/24/20,5,House - Financial Services,3/24/20,Referred to the House Committee on Financial Services.
H,B, 6339,116,2019,To temporarily ban stock buybacks until the impact of COVID-19 on the American financial system has ended.,House,"Casten, Sean ",D,IL,6,3/23/20,0,House - Financial Services,3/23/20,Referred to the House Committee on Financial Services.
H,B, 6423,116,2019,"To provide for a temporary debt collection moratorium during the COVID-19 emergency period, and for other purposes.",House,"Lawson, Al, Jr. ",D,FL,5,3/31/20,0,House - Financial Services,3/31/20,Referred to the House Committee on Financial Services.
H,B, 6568,116,2019,Coverage for COVID-19 Treatment Act of 2020,House,"Blunt Rochester, Lisa ",D,DE,At Large,4/21/20,2,"House - Energy and Commerce, Ways and Means, Education and Labor",4/21/20,"Referred to the Committee on Energy and Commerce, and in addition to the Committees on Ways and Means, and Education and Labor, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned."
H,B, 6532,116,2019,COVID Special Enrollment Act of 2020,House,"Doggett, Lloyd ",D,TX,35,4/17/20,2,House - Energy and Commerce,4/17/20,Referred to the House Committee on Energy and Commerce.
H,B, 6666,116,2019,"COVID-19 Testing, Reaching, And Contacting Everyone (TRACE) Act",House,"Rush, Bobby L. ",D,IL,1,5/1/20,45,House - Energy and Commerce,5/1/20,Referred to the House Committee on Energy and Commerce.
H,Res, 944,116,2019,Expressing the sense of the House of Representatives that the People's Republic of China should be held accountable for its handling of COVID-19.,House,"Mast, Brian J. ",R,FL,18,4/28/20,12,House - Foreign Affairs,4/28/20,Referred to the House Committee on Foreign Affairs.
H,B, 6599,116,2019,COVID Research Act of 2020,House,"Lucas, Frank D. ",R,OK,3,4/23/20,8,"House - Energy and Commerce, Science, Space, and Technology",4/23/20,"Referred to the Committee on Energy and Commerce, and in addition to the Committee on Science, Space, and Technology, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned."
H,B, 6486,116,2019,Care for COVID-19 Act 2.0,House,"Ruiz, Raul ",D,CA,36,4/10/20,1,"House - Energy and Commerce, Ways and Means, Education and Labor",4/10/20,"Referred to the Committee on Energy and Commerce, and in addition to the Committees on Ways and Means, and Education and Labor, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned."
H,B, 6460,116,2019,To provide funding for needed child and adult care so that essential workers can report to work during the COVID-19 pandemic.,House,"Davis, Danny K. ",D,IL,7,4/7/20,14,House - Ways and Means,4/7/20,Referred to the House Committee on Ways and Means.
H,B, 6355,116,2019,"To temporarily modify the John H. Chafee Foster Care Program for Successful Transition to Adulthood in response to the COVID-19 pandemic, and for other purposes.",House,"Langevin, James R. ",D,RI,2,3/23/20,7,"House - Ways and Means, Energy and Commerce, Financial Services",3/23/20,"Referred to the Committee on Ways and Means, and in addition to the Committees on Energy and Commerce, and Financial Services, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned."
H,Res, 937,116,2019,"Recognizing the important role Victory Gardens played in America's World War efforts and reaffirming their purpose as essential to strengthening food security, health education, and community morale during the 2020 Coronavirus disease (COVID-19) crisis.",House,"Kaptur, Marcy ",D,OH,9,4/22/20,2,House - Agriculture,4/22/20,Referred to the House Committee on Agriculture.
H,B, 6645,116,2019,"To direct the Secretary of Health and Human Services, acting through the Director of the National Institute of Mental Health, to conduct or support research on the mental health consequences of SARS-CoV-2 or COVID-19, and for other purposes.",House,"Tonko, Paul ",D,NY,20,4/28/20,0,House - Energy and Commerce,4/28/20,Referred to the House Committee on Energy and Commerce.
H,B, 6638,116,2019,Reducing COVID-19 Disparities by Investing in Public Health Act,House,"Hayes, Jahana ",D,CT,5,4/28/20,0,House - Energy and Commerce,4/28/20,Referred to the House Committee on Energy and Commerce.
H,B, 6665,116,2019,"To direct the Secretary of State, in consultation with the Secretary of Health and Human Services, to submit a report on the actions of the World Health Organization to address the spread of the virus responsible for COVID-19, and for other purposes.",House,"Carter, Earl L. ""Buddy"" ",R,GA,1,5/1/20,8,House - Foreign Affairs,5/1/20,Referred to the House Committee on Foreign Affairs.
H,B, 6644,116,2019,To require group health plans and health insurance issuers offering group or individual health insurance coverage to provide coverage for services furnished via telehealth if such services would be covered if furnished in-person during the COVID-19 emergency.,House,"Schrier, Kim ",D,WA,8,4/28/20,5,"House - Energy and Commerce, Ways and Means, Education and Labor",4/28/20,"Referred to the Committee on Energy and Commerce, and in addition to the Committees on Ways and Means, and Education and Labor, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned."
H,B, 6674,116,2019,"To ensure access to affordable, comprehensive health insurance benefits for certain uninsured individuals during the COVID-19 emergency, and to ensure adequate coverage of treatments for COVID-19 under the Medicare and Medicaid programs and under group health plans and group or individual health insurance coverage, and for other purposes.",House,"Jayapal, Pramila ",D,WA,7,5/1/20,32,"House - Energy and Commerce, Ways and Means, Education and Labor, Armed Services",5/1/20,"Referred to the Committee on Energy and Commerce, and in addition to the Committees on Ways and Means, Education and Labor, and Armed Services, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned."
H,B, 6366,116,2019,"To permit, due to the COVID-19 emergency, Federal financial regulators to allow for the temporary waiver of requirements that a State, territory, or local government provide matching or cost-sharing funds before receiving a grant from a Federal financial regulator, to allow for certain reprogramming of funds to support unemployment, childcare, and healthcare programs, and for other purposes.",House,"San Nicolas, Michael F. Q. ",D,GU,At Large,3/23/20,0,House - Financial Services,3/23/20,Referred to the House Committee on Financial Services.
H,B, 6701,116,2019,To require a longitudinal study on the impact of COVID-19.,House,"Eshoo, Anna G. ",D,CA,18,5/5/20,3,House - Energy and Commerce,5/5/20,Referred to the House Committee on Energy and Commerce.
H,B, 6721,116,2019,"To facilitate the expedited review of COVID-19 hate crimes, and for other purposes.",House,"Meng, Grace ",D,NY,6,5/5/20,19,House - Judiciary,5/5/20,Referred to the House Committee on the Judiciary.
