Type_Chamber,Type_Bill,Type_Number,Congress,Date,Title,Chamber,Sponsor,Party,State,District,Date_Intro,Cosponsors,Committees,Date_Last,Last_Action
H,B,1563,109,2005,National Food and Agricultural Science Act of 2005,House," Gutknecht, Gil ",R,MN,1,4/12/05,4,"House - Science, Agriculture",4/25/05,"Referred to the Subcommittee on Conservation, Credit, Rural Development and Research."
H,B,1916,108,2003,Diabetes Prevention Access and Care Act,House," DeGette, Diana ",D,CO,1,5/1/03,131,House - Energy and Commerce,5/9/03,Referred to the Subcommittee on Health.
H,B,2110,108,2003,Emergency DNA Backlog Elimination and Self Defense from Serial Killers Act of 2003,House," Vitter, David ",R,LA,1,5/14/03,4,House - Judiciary,6/25/03,"Referred to the Subcommittee on Crime, Terrorism, and Homeland Security."
H,B,2458,105,1997,Community Protection and Hazardous Fuels Reduction Act of 1997,House," Chenoweth-Hage, Helen ",R,ID,1,9/11/97,6,"House - Agriculture, Resources",3/5/98,Forwarded by Subcommittee to Full Committee (Amended) by Voice Vote.
H,B,2606,106,1999,"Foreign Operations, Export Financing, and Related Programs Appropriations Act, 2000",House," Callahan, Sonny ",R,AL,1,7/23/99,0,House - Appropriations,10/18/99,On motion to refer the bill and the accompanying veto message to the Committee on Appropriations. Agreed to by voice vote.
H,B,3028,110,2007,Child Soldier Prevention Act of 2007,House," Fortenberry, Jeff ",R,NE,1,7/12/07,15,House - Foreign Affairs,7/12/07,Referred to the House Committee on Foreign Affairs.
H,B,3085,101,1989,Economic Equity Act of 1989,House," Schroeder, Patricia ",D,CO,1,8/2/89,86,"House - House Administration, Banking, Finance, and Urban Affairs, Education and Labor, Ways and Means, Energy and Commerce, Judiciary, Small Business",11/22/89,"Referred to the Subcommittee on SBA, the General Economy, and Minority Enterprise Development."
H,B,3539,108,2003,Hepatitis C Epidemic Control and Prevention Act,House," Wilson, Heather ",R,NM,1,11/19/03,44,House - Energy and Commerce,12/4/03,Referred to the Subcommittee on Health.
H,B,4245,110,2007,Saving American Lives and Investing in Protecting Land And Nature Act,House," Sali, Bill ",R,ID,1,11/15/07,3,"House - Agriculture, Natural Resources",4/25/08,"Referred to the Subcommittee on Department Operations, Oversight, Nutrition and Forestry."
H,B,4980,102,1991,National Forest Health Act of 1992,House," LaRocco, Larry ",D,ID,1,4/9/92,31,"House - Agriculture, Interior and Insular Affairs",9/24/92,Committee Consideration and Mark-up Session Held.
H,B,5364,111,2009,Special Care Dentistry Act of 2010,House," Stupak, Bart ",D,MI,1,5/20/10,0,House - Energy and Commerce,5/20/10,Referred to the House Committee on Energy and Commerce.
H,B,5482,107,2001,Diabetes Prevention Access and Care Act,House," DeGette, Diana ",D,CO,1,9/26/02,22,House - Energy and Commerce,10/8/02,Referred to the Subcommittee on Health.
H,B,5793,109,2005,"To require the Secretary of Defense, in coordination with the Secretary of Homeland Security and State governments, to develop detailed operational plans regarding Defense Support to Civil Authorities missions.",House," Jindal, Bobby ",R,LA,1,7/13/06,0,House - Armed Services,8/10/06,Referred to the Subcommittee on Tactical Air and Land Forces.
H,B,5832,109,2005,National Institute of Food and Agriculture Act of 2006,House," Gutknecht, Gil ",R,MN,1,7/19/06,6,House - Agriculture,8/7/06,Executive Comment Requested from USDA.
H,B,7291,115,2017,GLOBE Act of 2018,House," Titus, Dina ",D,NV,1,12/13/18,7,"House - Foreign Affairs, Judiciary",12/13/18,"Referred to the Committee on Foreign Affairs, and in addition to the Committee on the Judiciary, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned."
H,Res,733,108,2003,Calling on the Government of Libya to review the legal actions taken against several Bulgarian medical workers.,House," Bereuter, Doug ",R,NE,1,7/20/04,2,House - International Relations,10/5/04,Subcommittee Consideration and Mark-up Session Held.
H,Res,809,114,2015,Providing for consideration of the conference report to accompany the bill (S. 524) to authorize the Attorney General to award grants to address the national epidemics of prescription opioid abuse and heroin use; and for other purposes.,House," Byrne, Bradley ",R,AL,1,7/6/16,0,House - Rules,7/7/16,Motion to reconsider laid on the table Agreed to without objection.
H,B,7037,110,2007,Healthy Activity for Lifelong Energy Act of 2008,House," Bishop, Sanford D",D,GA,2,9/24/08,0,House - Energy and Commerce,9/24/08,Referred to the Subcommittee on Health.
H,B,772,106,1999,HOPE for Africa Act,House," Jackson, Jesse L",D,IL,2,2/23/99,74,"House - International Relations, Banking and Financial Services, Ways and Means",3/18/99,Referred to the Subcommittee on Domestic and International Monetary Policy.
H,B,4038,106,1999,Mother-to-Child HIV Prevention Act of 2000,House," Jackson, Jesse L",D,IL,2,3/21/00,1,House - International Relations,3/21/00,Referred to the House Committee on International Relations.
H,Res,756,111,2009,Supporting the goals and ideals of Red Ribbon Week.,House," Ruppersberger, C",D,MD,2,9/17/09,10,House - Energy and Commerce,9/21/09,Referred to the Subcommittee on Health.
H,Res,1709,111,2009,Supporting the goals and ideals of Red Ribbon Week.,House," Ruppersberger, C",D,MD,2,9/29/10,2,House - Energy and Commerce,9/29/10,Referred to the House Committee on Energy and Commerce.
H,B,5475,114,2015,Health Equity and Accountability Act of 2016,House," Kelly, Robin L",D,IL,2,6/14/16,21,"House - Energy and Commerce, Ways and Means, Agriculture, Education and the Workforce, Budget, Judiciary, Veterans' Affairs, Armed Services, Natural Resources",9/19/16,"Referred to the Subcommittee on Health, Employment, Labor, and Pensions."
H,B,2118,103,1993,Supplemental Appropriations Act of 1993,House," Natcher, William H",D,KY,2,5/13/93,0,House - Appropriations | Senate - Appropriations,7/2/93,Became Public Law No: 103-50.
H,B,3105,115,2017,Supporting Grandparents Raising Grandchildren Act,House," McGovern, James P",D,MA,2,6/29/17,1,"House - Education and the Workforce, Energy and Commerce",6/30/17,Referred to the Subcommittee on Health.
H,B,11245,95,1977,National Intelligence Reorganization and Reform Act,House," Boland, Edward P",D,MA,2,3/2/78,0,"House - Intelligence (Permanent), Judiciary",3/2/78,Referred to House Committee on the Judiciary.
H,B,1,110,2007,Implementing Recommendations of the 9/11 Commission Act of 2007,House," Thompson, Bennie G",D,MS,2,1/5/07,205,"House - Homeland Security, Energy and Commerce, Judiciary, Intelligence (Permanent), Foreign Affairs, Transportation and Infrastructure, Oversight and Government Reform, Ways and Means | Senate - Homeland Security and Governmental Affairs",8/3/07,Became Public Law No: 110-53.
H,B,1684,110,2007,Department of Homeland Security Authorization Act for Fiscal Year 2008,House," Thompson, Bennie G",D,MS,2,3/26/07,10,House - Homeland Security | Senate - Homeland Security and Governmental Affairs,5/11/07,Received in the Senate and Read twice and referred to the Committee on Homeland Security and Governmental Affairs.
H,B,4190,115,2017,Federal Opioid Response Fairness Act of 2017,House," Kuster, Ann M",D,NH,2,10/31/17,4,House - Energy and Commerce,11/3/17,Referred to the Subcommittee on Health.
H,B,4938,115,2017,Respond NOW Act,House," Kuster, Ann M",D,NH,2,2/6/18,0,"House - Energy and Commerce, Judiciary, Ways and Means, Education and the Workforce, Budget",4/5/18,"Referred to the Subcommittee on Early Childhood, Elementary, and Secondary Education."
H,B,5109,115,2017,Federal Opioid Response Fairness Act of 2018,House," Kuster, Ann M",D,NH,2,2/27/18,6,House - Energy and Commerce,3/2/18,Referred to the Subcommittee on Health.
H,B,5189,114,2015,Opioid Abuse Crisis Act of 2016,House," Kuster, Ann M",D,NH,2,5/11/16,0,"House - Energy and Commerce, Judiciary, Veterans' Affairs, Education and the Workforce, Ways and Means, Armed Services, Natural Resources",6/7/16,Referred to the Subcommittee on Military Personnel.
H,B,5842,114,2015,Helping Our Veterans with Chronic Pain and Opioid Addiction Act of 2016,House," Kuster, Ann M",D,NH,2,7/14/16,2,House - Veterans' Affairs,7/14/16,Referred to the Subcommittee on Health.
H,B,7079,115,2017,Corrections Public Health and Community Re-entry Act of 2018,House," Kuster, Ann M",D,NH,2,10/19/18,12,House - Judiciary,11/15/18,"Referred to the Subcommittee on Crime, Terrorism, Homeland Security, and Investigations."
H,Res,572,115,2017,"Supporting the goals and ideals of Red Ribbon Week during the period of October 23 through October 31, 2017.",House," Kuster, Ann M",D,NH,2,10/12/17,1,House - Energy and Commerce,10/13/17,Referred to the Subcommittee on Health.
H,B,1338,98,1983,Justice Assistance Act of 1983,House," Hughes, William J",D,NJ,2,2/8/83,3,House - Judiciary,3/17/83,Clean Bill H.R.2175 Forwarded by Subcommittee to Full Committee in Lieu.
H,B,2175,98,1983,"Justice Assistance, Missing Children and Juvenile Justice Act of 1984",House," Hughes, William J",D,NJ,2,3/17/83,10,House - Judiciary | Senate - Judiciary,10/12/84,See H.J.Res.648.
H,B,3359,97,1981,Justice Assistance Act of 1981,House," Hughes, William J",D,NJ,2,4/30/81,0,House - Judiciary,9/15/81,Clean Bill H.R.4481 Forwarded by Subcommittee to Full Committee in Lieu.
H,B,3963,97,1981,Violent Crime and Drug Enforcement Improvements Act of 1982,House," Hughes, William J",D,NJ,2,6/18/81,0,House - Judiciary | Senate - Judiciary,1/14/83,Pocket Vetoed by President.
H,B,4481,97,1981,Justice Assistance Act of 1982,House," Hughes, William J",D,NJ,2,9/15/81,36,House - Judiciary | Senate - Judiciary,12/9/82,"Senate insists on its amendments, asks for a conference, appoints conferees Thurmond; Specter; Mathias; East; Biden; Kennedy; Heflin."
H,B,1290,110,2007,Biosurveillance Enhancement Act of 2007,House," Langevin, James R",D,RI,2,3/1/07,8,"House - Homeland Security, Energy and Commerce",3/5/07,Referred to the Subcommittee on Health.
H,B,4260,113,2013,Ryan White Patient Equity and Choice Act,House," Ellmers, Renee L",R,NC,2,3/14/14,7,House - Energy and Commerce,3/21/14,Referred to the Subcommittee on Health.
H,Con,197,101,1989,Expressing the sense of Congress that each State should require health insurance providers in the State to provide coverage for screening mammography in accordance with guidelines established by the National Cancer Institute.,House," Vucanovich, Barbara F",R,NV,2,9/18/89,39,House - Energy and Commerce,10/6/89,"Referred to the Subcommittee on Commerce, Consumer Protection and Competitiveness."
H,Con,139,110,2007,Expressing the sense of the Congress that the United States should address the ongoing problem of untouchability in India.,House," Franks, Trent ",R,AZ,2,5/1/07,33,House - Foreign Affairs | Senate - Foreign Relations,7/24/07,Received in the Senate and referred to the Committee on Foreign Relations.
H,Con,396,109,2005,Expressing the sense of the Congress that the United States should address the ongoing problem of untouchability in India.,House," Franks, Trent ",R,AZ,2,4/27/06,15,"House - International Relations, Financial Services, Government Reform, Education and the Workforce",5/24/06,Referred to the Subcommittee on Employer-Employee Relations.
H,J,467,102,1991,"Designating October 24, 1992, through November 1, 1992, as ""National Red Ribbon Week for a Drug-Free America"".",House," Horn, Joan Kelly ",D,MO,2,4/8/92,212,House - Post Office and Civil Service | Senate - Judiciary,10/23/92,Became Public Law No: 102-465.
H,J,340,102,1991,"To designate October 19 through 27, 1991 as ""National Red Ribbon Week for a Drug-Free America"".",House," Horn, Joan Kelly ",D,MO,2,10/2/91,225,House - Post Office and Civil Service,10/28/91,Became Public Law No: 102-144.
H,B,6,115,2017,SUPPORT for Patients and Communities Act,House," Walden, Greg ",R,OR,2,6/13/18,16,"House - Energy and Commerce, Ways and Means, Judiciary",10/24/18,Became Public Law No: 115-271.
H,B,770,104,1995,Forest Fire and Pest Emergency Act,House," Herger, Wally ",R,CA,2,2/1/95,4,"House - Agriculture, Resources",2/13/95,"Referred to the Subcommittee on Resource Conservation, Research and Forestry."
H,B,805,111,2009,Strengthening America's Public Health System Act,House," Baldwin, Tammy ",D,WI,2,2/3/09,9,House - Energy and Commerce,2/4/09,Referred to the Subcommittee on Health.
H,B,1062,105,1997,HIV Prevention Act of 1997,House," Coburn, Tom ",R,OK,2,3/13/97,107,House - Commerce,8/7/98,Sponsor introductory remarks on measure.
H,B,1101,114,2015,Viral Hepatitis Testing Act of 2015,House," Guthrie, Brett ",R,KY,2,2/26/15,38,"House - Energy and Commerce, Veterans' Affairs",3/13/15,Referred to the Subcommittee on Health.
H,B,2372,101,1989,Radiation Exposure Compensation Act,House," Owens, Wayne ",D,UT,2,5/16/89,14,House - Judiciary,10/15/90,Became Public Law No: 101-426.
H,B,2498,113,2013,"Agriculture Reform, Food, and Jobs Act of 2013",House," Loebsack, David ",D,IA,2,6/25/13,4,House - Agriculture,6/25/13,Referred to the House Committee on Agriculture.
H,B,2515,105,1997,Forest Recovery and Protection Act of 1998,House," Smith, Robert ",R,OR,2,9/23/97,19,"House - Agriculture, Resources",3/27/98,Motion to reconsider laid on the table Agreed to without objection.
H,B,3530,105,1997,Forest Recovery and Protection Act of 1998,House," Smith, Robert ",R,OR,2,3/24/98,1,"House - Agriculture, Resources",3/26/98,Unfavorable Executive Comment Received from USDA.
H,B,3566,108,2003,"To amend the Cooperative Forestry Assistance Act of 1978 to establish a program using geospatial and information management technologies to inventory, monitor, characterize, assess, and identify forest stands and potential forest stands, and for other purposes.",House," Walden, Greg ",R,OR,2,11/20/03,0,"House - Agriculture, Resources",12/18/03,"Referred to the Subcommittee on Department Operations, Oversight, Nutrition and Forestry."
H,B,3937,104,1995,HIV Prevention Act of 1996,House," Coburn, Tom ",R,OK,2,8/1/96,28,House - Commerce,8/12/96,Referred to the Subcommittee on Health and Environment.
H,B,4082,104,1995,Quincy Library Group Forest Recovery and Economic Stability Act of 1996,House," Herger, Wally ",R,CA,2,9/17/96,4,"House - Resources, Agriculture",9/25/96,"Referred to the Subcommittee on Resource Conservation, Research and Forestry."
H,B,4447,114,2015,Opioid and Heroin Epidemic Emergency Supplemental Appropriations Act,House," Courtney, Joe ",D,CT,2,2/3/16,40,"House - Appropriations, Budget",2/3/16,"Referred to the Committee on Appropriations, and in addition to the Committee on the Budget, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned."
H,B,4501,115,2017,Combating the Opioid Epidemic Act,House," Loebsack, David ",D,IA,2,11/30/17,5,House - Energy and Commerce,12/1/17,Referred to the Subcommittee on Health.
H,B,4807,106,1999,Ryan White CARE Act Amendments of 2000,House," Coburn, Tom ",R,OK,2,6/29/00,253,House - Commerce,7/26/00,Received in the Senate. Read twice. Placed on Senate Legislative Calendar under General Orders. Calendar No. 716.
H,B,5090,111,2009,NEW Schools Act,House," Polis, Jared ",D,CO,2,4/21/10,16,"House - Education and Labor, Budget",5/27/10,Referred to the Subcommittee on Healthy Families and Communities.
H,B,5735,102,1991,Southern Arizona Water Rights Settlement Amendments Act of 1992,House," Pastor, Ed ",D,AZ,2,7/31/92,4,House - Interior and Insular Affairs,9/24/92,"Referred to the Subcommittee on Water, Power and Offshore Energy Resources."
H,B,5782,115,2017,Opioid Crisis Accountability Act of 2018,House," Gabbard, Tulsi ",D,HI,2,5/11/18,5,"House - Energy and Commerce, Education and the Workforce, Ways and Means, Judiciary",5/31/18,Referred to the Subcommittee on Health.
H,B,6905,110,2007,National Integrated Public Health Surveillance Systems and Reportable Conditions Act,House," Terry, Lee ",R,NE,2,9/15/08,4,House - Energy and Commerce,9/15/08,Referred to the Subcommittee on Health.
H,Res,79,113,2013,Supporting the goals and ideals of International Water Safety Day.,House," Fattah, Chaka ",D,PA,2,2/25/13,1,House - Energy and Commerce,3/1/13,"Referred to the Subcommittee on Commerce, Manufacturing, and Trade."
H,Res,627,115,2017,Recognizing that access to hospitals and other health care providers for patients in rural areas of the United States is essential to the survival and success of communities in the United States.,House," Jenkins, Lynn ",R,KS,2,11/16/17,4,House - Energy and Commerce,11/17/17,Referred to the Subcommittee on Health.
H,Res,658,112,2011,Supporting the goals and ideals of International Water Safety Day.,House," Fattah, Chaka ",D,PA,2,5/15/12,0,House - Energy and Commerce,5/18/12,"Referred to the Subcommittee on Commerce, Manufacturing, and Trade."
H,Res,1099,115,2017,SUPPORT for Patients and Communities Act,House," Walden, Greg ",R,OR,2,9/28/18,0,,9/28/18,Motion to reconsider laid on the table Agreed to without objection.
H,Res,1302,111,2009,Supporting the goals and ideals of National Hepatitis Awareness Month and World Hepatitis Day.,House," Cao, Anh ""Joseph"" ",R,LA,2,4/27/10,52,House - Energy and Commerce,4/27/10,Referred to the House Committee on Energy and Commerce.
H,B,3448,107,2001,Public Health Security and Bioterrorism Preparedness and Response Act of 2002 ,House," Tauzin, W",R,LA,3,12/11/01,70,House - Energy and Commerce,6/12/02,Became Public Law No: 107-188.
H,B,3859,110,2007,Chronic Wasting Disease Support for States Act,House," Salazar, John T",D,CO,3,10/16/07,0,"House - Natural Resources, Agriculture",4/25/08,Referred to the Subcommittee on Horticulture and Organic Agriculture.
H,B,1082,110,2007,Safe Babies Act of 2007,House," DeLauro, Rosa L",D,CT,3,2/15/07,22,House - Education and Labor,6/5/07,Referred to the Subcommittee on Healthy Families and Communities.
H,B,1687,114,2015,SWEET Act,House," DeLauro, Rosa L",D,CT,3,3/26/15,4,"House - Ways and Means, Energy and Commerce",3/27/15,Referred to the Subcommittee on Health.
H,B,2929,101,1989,Chinese Temporary Protected Status Act of 1989,House," Morrison, Bruce A",D,CT,3,7/19/89,9,House - Judiciary,9/19/89,"Placed on the Union Calendar, Calendar No. 155."
H,B,4997,113,2013,United States Leadership to Eradicate Obstetric Fistula Act of 2014,House," DeLauro, Rosa L",D,CT,3,6/26/14,2,House - Foreign Affairs,6/26/14,Referred to the House Committee on Foreign Affairs.
H,B,5279,113,2013,SWEET Act,House," DeLauro, Rosa L",D,CT,3,7/30/14,6,"House - Ways and Means, Energy and Commerce",8/1/14,Referred to the Subcommittee on Health.
H,B,5748,112,2011,United States Leadership to Eradicate Obstetric Fistula Act of 2012,House," DeLauro, Rosa L",D,CT,3,5/15/12,8,House - Foreign Affairs,5/15/12,Referred to the House Committee on Foreign Affairs.
H,B,7301,115,2017,Physician Education for Fistula Treatment Act,House," DeLauro, Rosa L",D,CT,3,12/13/18,6,House - Foreign Affairs,12/13/18,Referred to the House Committee on Foreign Affairs.
H,B,7341,115,2017,SWEET Act,House," DeLauro, Rosa L",D,CT,3,12/19/18,0,"House - Ways and Means, Energy and Commerce",12/19/18,"Referred to the Committee on Ways and Means, and in addition to the Committee on Energy and Commerce, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned."
H,Res,595,113,2013,"Supporting the goals and ideals of May 23 as the ""International Day to End Obstetric Fistula"" to significantly raise awareness and intensify actions towards ending obstetric fistula.",House," DeLauro, Rosa L",D,CT,3,5/22/14,13,House - Oversight and Government Reform,5/22/14,Referred to the House Committee on Oversight and Government Reform.
H,Res,747,114,2015,"Supporting the goals and ideals of May 23 as the ""International Day to End Obstetric Fistula"" to significantly raise awareness and intensify actions towards ending obstetric fistula.",House," DeLauro, Rosa L",D,CT,3,5/24/16,3,House - Oversight and Government Reform,5/24/16,Referred to the House Committee on Oversight and Government Reform.
H,B,988,106,1999,Comprehensive Methamphetamine Abuse Reduction Act,House," Boswell, Leonard L",D,IA,3,3/4/99,1,"House - Commerce, Judiciary",3/30/99,Referred to the Subcommittee on Health and Environment.
H,B,1355,101,1989,Temporary Safe Haven Act of 1989,House," Mazzoli, Romano L",D,KY,3,3/9/89,1,House - Judiciary,4/10/89,"Executive Comment Requested from Justice, State."
H,B,1382,112,2011,White House Conference on Food and Nutrition Act,House," McGovern, James P",D,MA,3,4/6/11,1,House - Agriculture,5/11/11,Referred to the Subcommittee on Nutrition and Horticulture .
H,B,1869,111,2009,White House Conference on Food and Nutrition,House," McGovern, James P",D,MA,3,4/2/09,89,House - Agriculture,4/28/09,"Referred to the Subcommittee on Department Operations, Oversight, Nutrition and Forestry."
H,B,2297,111,2009,White House Conference on Food and Nutrition,House," McGovern, James P",D,MA,3,5/7/09,2,"House - Agriculture, Rules",6/22/10,"Referred to the Subcommittee on Department Operations, Oversight, Nutrition and Forestry."
H,B,6127,110,2007,White House Conference on Food and Nutrition,House," McGovern, James P",D,MA,3,5/22/08,41,House - Agriculture,11/19/08,"Referred to the Subcommittee on Department Operations, Oversight, Nutrition and Forestry."
H,B,733,101,1989,Commission on Values Education Act of 1989,House," Hall, Tony P",D,OH,3,1/31/89,52,"House - Education and Labor, Rules",5/5/89,Referred to the Subcommittee on Rules of the House.
H,B,2258,102,1991,Freedom From Want Act,House," Hall, Tony P",D,OH,3,5/8/91,133,"House - Agriculture, Banking, Finance, and Urban Affairs, Education and Labor, Foreign Affairs, Energy and Commerce, Ways and Means",6/17/91,Referred to the Subcommittee on Employment Opportunities.
H,B,3092,111,2009,Obesity Treatment and Wellness Act of 2009,House," Dahlkemper, Kathleen A",D,PA,3,6/26/09,19,House - Energy and Commerce,7/7/09,Referred to the Subcommittee on Health.
H,B,4954,109,2005,SAFE Port Act,House," Lungren, Daniel E",R,CA,3,3/14/06,80,"House - Homeland Security, Transportation and Infrastructure",10/13/06,Became Public Law No: 109-347.
H,B,695,114,2015,Healthy Forest Management and Wildfire Prevention Act,House," Tipton, Scott  R",R,CO,3,2/3/15,15,"House - Agriculture, Natural Resources",3/16/15,Referred to the Subcommittee on Federal Lands.
H,B,818,113,2013,Healthy Forest Management and Wildfire Prevention Act,House," Tipton, Scott  R",R,CO,3,2/25/13,18,"House - Agriculture, Natural Resources",4/11/13,Subcommittee Hearings Held.
H,B,6089,112,2011,Healthy Forest Management Act of 2012,House," Tipton, Scott  R",R,CO,3,7/9/12,14,"House - Agriculture, Natural Resources",8/13/12,"Referred to the Subcommittee on Conservation, Energy, and Forestry."
H,Res,279,113,2013,"Expressing the sense of the House of Representatives that allocating the appropriate resources to wildland fire management is needed to protect the environment, the economy, and the people of the United States, and for other purposes.",House," Tipton, Scott  R",R,CO,3,6/26/13,5,"House - Agriculture, Natural Resources",8/13/13,"Referred to the Subcommittee on Conservation, Energy, and Forestry."
H,B,5707,113,2013,Ebola Response Act of 2014,House," Yoho, Ted S",R,FL,3,11/13/14,2,House - Energy and Commerce,11/14/14,Referred to the Subcommittee on Health.
H,B,2829,109,2005,Office of National Drug Control Policy Reauthorization Act of 2005,House," Souder, Mark E",R,IN,3,6/9/05,1,"House - Government Reform, Judiciary, Energy and Commerce, Intelligence (Permanent), Education and the Workforce | Senate - Judiciary",3/13/06,Received in the Senate and Read twice and referred to the Committee on the Judiciary.
